,gen,pA,pB,pD,error
0,NA,0.2000190257795725,2.875833073951211e+18,16063856.2303349,10000000000.0
1,1.0,22026.665813832496,2.875833073951211e+18,16063856.2303349,219.57889
2,2.0,22026.665813832496,2.875833073951211e+18,16069803.662477005,219.57889
3,3.0,22026.665813832496,2.875833073951211e+18,16079858.659952225,219.57889
4,4.0,22026.665813832496,2.875833073951211e+18,16093706.93645419,219.57889
5,5.0,22026.665813832496,2.875833073951211e+18,16063045.935394265,219.57889
6,6.0,22026.665813832496,2.875833073951211e+18,16077244.974813886,219.57889
7,7.0,22026.665813832496,2.875833073951211e+18,16085207.852677826,219.57889
8,8.0,22026.665813832496,2.875833073951211e+18,16088917.764688427,219.57889
9,9.0,22026.665813832496,2.875833073951211e+18,16098631.59121744,219.57889
10,10.0,22026.665813832496,2.875833073951211e+18,16114163.527430872,219.57889
11,11.0,22026.665813832496,2.875833073951211e+18,16115915.639891047,219.57889
12,12.0,22026.665813832496,2.875833073951187e+18,16175789.781606244,219.57889
13,13.0,22026.665813832496,2.8758330739512197e+18,16175789.781606244,219.57889
14,14.0,22026.665813832496,2.875833073951197e+18,16175789.781606244,219.57889
15,15.0,22026.665813832496,2.8758330739511736e+18,16175789.781606244,219.57889
16,16.0,22026.665813832496,2.8758330739511537e+18,16175789.781606244,219.57889
17,17.0,22026.665813832496,2.875833073951126e+18,16175789.781606244,219.57889
18,18.0,22026.665813832496,2.875833073951152e+18,16175789.781606244,219.57889
19,19.0,22026.665813832496,2.875833073951169e+18,16175789.781606244,219.57889
20,20.0,22026.665813832496,2.875833073951198e+18,16175789.781606244,219.57889
21,21.0,22026.665813832496,2.875833073951235e+18,16175789.781606244,219.57889
22,22.0,22026.665813832496,2.875833073951275e+18,16175789.781606244,219.57889
23,23.0,22026.665813832496,2.8758330739512617e+18,16175789.781606244,219.57889
24,24.0,22026.665813832496,2.875833073951283e+18,16175789.781606244,219.57889
25,25.0,22026.665813832496,2.875833073951296e+18,16175789.781606244,219.57889
26,26.0,22026.665813832496,2.875833073951265e+18,16175789.781606244,219.57889
27,27.0,22026.665813832496,2.875833073951307e+18,16175789.781606244,219.57889
28,28.0,22026.665813832496,2.875833073951326e+18,16175789.781606244,219.57889
29,29.0,22026.665813832496,2.87583307395137e+18,16175789.781606244,219.57889
30,30.0,22026.665813832496,2.8758330739513554e+18,16175789.781606244,219.57889
31,31.0,22026.665813832496,2.875833073951324e+18,16175789.781606244,219.57889
32,32.0,44053.13160863922,2.875833073951487e+18,16175789.781606244,162.38108
33,33.0,44053.13160863922,2.875833073951462e+18,16175789.781606244,162.38108
34,34.0,44053.13160863922,2.8758330739514675e+18,16175789.781606244,162.38108
35,35.0,44053.13160863922,2.8758330739515136e+18,16175789.781606244,162.38108
36,36.0,44053.13160863922,2.8758330739514685e+18,16175789.781606244,162.38108
37,37.0,44053.13160863922,2.8758330739514604e+18,16175789.781606244,162.38108
38,38.0,44053.13160863922,2.875833073951623e+18,16174884.137636282,162.38108
39,39.0,44053.13160863922,2.875833073951623e+18,16180166.228766974,162.38108
40,40.0,44053.13160863922,2.875833073951623e+18,16196430.079379264,162.38108
41,41.0,44053.13160863922,2.875833073951623e+18,16191680.816183208,162.38108
42,42.0,44053.13160863922,2.875833073951623e+18,16213635.515937049,162.38108
43,43.0,44053.13160863922,2.875833073951598e+18,16273509.657652246,162.38108
44,44.0,44053.13160863922,2.875833073951623e+18,16273509.657652246,162.38108
45,45.0,44053.13160863922,2.875833073951668e+18,16273509.657652246,162.38108
46,46.0,44053.13160863922,2.875833073951647e+18,16273509.657652246,162.38108
47,47.0,44053.13160863922,2.8758330739516703e+18,16273509.657652246,162.38108
48,48.0,66079.59740344594,2.875833073951833e+18,16273509.657652246,104.48365
49,49.0,66079.59740344594,2.875833073951797e+18,16273509.657652246,104.48365
50,50.0,66079.59740344594,2.875833073951857e+18,16273509.657652246,104.48365
51,51.0,66079.59740344594,2.875833073951883e+18,16273509.657652246,104.48365
52,52.0,66079.59740344594,2.8758330739519406e+18,16273509.657652246,104.48365
53,53.0,66079.59740344594,2.875833073951942e+18,16273509.657652246,104.48365
54,54.0,66079.59740344594,2.875833073951983e+18,16273509.657652246,104.48365
55,55.0,66079.59740344594,2.8758330739519524e+18,16273509.657652246,104.48365
56,56.0,66079.59740344594,2.8758330739519734e+18,16273509.657652246,104.48365
57,57.0,66079.59740344594,2.8758330739520164e+18,16273509.657652246,104.48365
58,58.0,66079.59740344594,2.8758330739520456e+18,16273509.657652246,104.48365
59,59.0,66079.59740344594,2.8758330739522084e+18,16333383.799367443,88.66124
60,60.0,66079.59740344594,2.8758330739522365e+18,16333383.799367443,88.66124
61,61.0,66079.59740344594,2.8758330739522217e+18,16333383.799367443,88.66124
62,62.0,66079.59740344594,2.8758330739522284e+18,16333383.799367443,88.66124
63,63.0,66079.59740344594,2.875833073952234e+18,16333383.799367443,88.66124
64,64.0,66079.59740344594,2.875833073952182e+18,16333383.799367443,88.66124
65,65.0,88106.06319825265,2.8758330739523446e+18,16333383.799367443,76.6999
66,66.0,88106.06319825265,2.8758330739523446e+18,16316084.733785398,76.6999
67,67.0,88106.06319825265,2.8758330739523446e+18,16314104.158499917,76.6999
68,68.0,88106.06319825265,2.8758330739523446e+18,16320187.573479578,76.6999
69,69.0,88106.06319825265,2.8758330739523446e+18,16328213.693073323,76.6999
