,gen,pA,pB,pD,error
0,NA,53.69426689115557,3609829001524172.0,463342737.1626009,10000000000.0
1,1.0,53.69426689115557,3609829001524172.0,463343251.5932083,10000000000.0
2,2.0,53.69426689115557,3609829001524172.0,463344277.4186996,10000000000.0
3,3.0,53.69426689115557,3609829001524172.0,463348472.43819964,10000000000.0
4,4.0,53.69426689115557,3609829001524172.0,463333845.01595443,10000000000.0
5,5.0,53.69426689115557,3609829001524172.0,463329282.90303016,10000000000.0
6,6.0,53.69426689115557,3609829001560684.0,463389157.0447453,-1.0
7,7.0,53.69426689115557,3609829001512482.0,463389157.0447453,-1.0
8,8.0,53.69426689115557,3609829001508169.0,463389157.0447453,-1.0
9,9.0,53.69426689115557,3609829001511487.0,463389157.0447453,-1.0
10,10.0,53.69426689115557,3609829001512560.5,463389157.0447453,-1.0
11,11.0,53.69426689115557,3609829001528270.5,463389157.0447453,-1.0
12,12.0,53.69426689115557,3609829001576319.5,463389157.0447453,-1.0
13,13.0,53.69426689115557,3609829001587811.0,463389157.0447453,-1.0
14,14.0,53.69426689115557,3609829001514291.0,463389157.0447453,-1.0
15,15.0,53.69426689115557,3609829001595148.5,463389157.0447453,-1.0
16,16.0,53.69426689115557,3609829001631608.5,463389157.0447453,-1.0
17,17.0,53.69426689115557,3609829001658463.5,463389157.0447453,-1.0
18,18.0,53.69426689115557,3609829001608186.5,463389157.0447453,-1.0
19,19.0,53.69426689115557,3609829001576055.0,463389157.0447453,-1.0
20,20.0,53.69426689115557,3609829001631388.5,463389157.0447453,-1.0
21,21.0,6570.865352119382,3609829001794143.5,463389157.0447453,-1.0
22,22.0,8369.608288335163,3609829001794143.5,463389157.0447453,-1.0
23,23.0,10921.076715965766,3609829001794143.5,463389157.0447453,-1.0
24,24.0,12691.5994981719,3609829001794143.5,463389157.0447453,-1.0
25,25.0,7253.886839814611,3609829001794143.5,463389157.0447453,-1.0
26,26.0,29280.35263462133,3609829001743212.5,463389157.0447453,219.68917
27,27.0,29280.35263462133,3609829001750336.5,463389157.0447453,219.68917
28,28.0,29280.35263462133,3609829001767841.0,463389157.0447453,219.68917
29,29.0,29280.35263462133,3609829001816428.5,463389157.0447453,219.68917
30,30.0,29280.35263462133,3609829001778009.5,463389157.0447453,219.68917
31,31.0,29280.35263462133,3609829001940764.5,463387035.95610875,219.68917
32,32.0,29280.35263462133,3609829001940764.5,463380683.2093001,219.68917
33,33.0,29280.35263462133,3609829001940764.5,463370143.7993003,219.68917
34,34.0,29280.35263462133,3609829001940764.5,463384973.7616001,219.68917
35,35.0,29280.35263462133,3609829001940764.5,463376235.6203313,219.68917
36,36.0,29920.01334435928,3609829001940764.5,463436109.76204646,219.68917
37,37.0,25361.69863504889,3609829001940764.5,463436109.76204646,219.68917
38,38.0,47388.164429855606,3609829001940764.5,463436109.76204646,218.95855
39,39.0,47388.164429855606,3609829001974765.0,463436109.76204646,218.95855
40,40.0,47388.164429855606,3609829001967530.0,463436109.76204646,218.95855
41,41.0,47388.164429855606,3609829001970952.5,463436109.76204646,218.95855
42,42.0,47388.164429855606,3609829002000763.5,463436109.76204646,218.95855
43,43.0,47388.164429855606,3609829002008965.5,463436109.76204646,218.95855
44,44.0,47388.164429855606,3609829002171720.5,463439505.63254106,218.95855
45,45.0,47388.164429855606,3609829002171720.5,463443751.5786529,218.95855
46,46.0,47388.164429855606,3609829002171720.5,463427400.6914347,218.95855
47,47.0,47388.164429855606,3609829002171720.5,463441961.5042267,218.95855
48,48.0,47388.164429855606,3609829002171720.5,463436098.0988174,218.95855
49,49.0,47388.164429855606,3609829002213953.0,463495972.2405326,218.95855
50,50.0,47388.164429855606,3609829002227603.0,463495972.2405326,218.95855
51,51.0,47388.164429855606,3609829002246141.0,463495972.2405326,218.95855
52,52.0,47388.164429855606,3609829002210160.5,463495972.2405326,218.95855
53,53.0,47388.164429855606,3609829002236920.5,463495972.2405326,218.95855
54,54.0,69414.63022466232,3609829002399675.5,463495972.2405326,88.57927
55,55.0,69414.63022466232,3609829002399675.5,463480958.7672295,88.57927
56,56.0,69414.63022466232,3609829002399675.5,463499198.89711744,88.57927
57,57.0,69414.63022466232,3609829002399675.5,463488141.53585744,88.57927
58,58.0,69414.63022466232,3609829002399675.5,463475027.50044394,88.57927
59,59.0,69414.63022466232,3609829002399675.5,463463376.6366374,88.57927
60,60.0,69414.63022466232,3609829002350265.5,463523250.77835256,88.57927
61,61.0,69414.63022466232,3609829002273992.0,463523250.77835256,88.57927
62,62.0,69414.63022466232,3609829002299433.0,463523250.77835256,88.57927
63,63.0,69414.63022466232,3609829002297335.5,463523250.77835256,88.57927
