,gen,pA,pB,pD,error
0,NA,71270.39597069306,59625561260.3323,0.12769262519711364,10000000000.0
1,1.0,93296.86176549978,59625561260.3323,0.12769262519711364,88.03898
2,2.0,93296.86176549978,59625561260.3323,-17711.307449896336,88.03898
3,3.0,93296.86176549978,59625561260.3323,1908.0419181822872,88.03898
4,4.0,93296.86176549978,59625561260.3323,-15109.93356957161,88.03898
5,5.0,93296.86176549978,59625561260.3323,-4144.528551446361,88.03898
6,6.0,93296.86176549978,59625561260.3323,-4604.1115565324935,88.03898
7,7.0,93296.86176549978,59625561260.3323,11869.650695041077,88.03898
8,8.0,93296.86176549978,59625561260.3323,7651.850705913454,88.03898
9,9.0,93296.86176549978,59625561260.3323,26098.10018829972,88.03898
10,10.0,93296.86176549978,59625561260.3323,25893.648879358454,88.03898
11,11.0,93296.86176549978,59625561260.3323,32736.864118515638,88.03898
12,12.0,93296.86176549978,59625561260.3323,36393.1072290843,88.03898
13,13.0,93296.86176549978,59625561260.3323,37843.54218538344,88.03898
14,14.0,93296.86176549978,59625561260.3323,38105.71965054576,88.03898
15,15.0,93296.86176549978,59625561260.3323,12824.477843622728,88.03898
16,16.0,93296.86176549978,59625561260.3323,22732.008885175495,88.03898
17,17.0,93296.86176549978,59625561260.3323,23508.476645921368,88.03898
18,18.0,93296.86176549978,59625561260.3323,17216.765770318183,88.03898
19,19.0,93296.86176549978,59625561260.3323,24542.96966120135,88.03898
20,20.0,93296.86176549978,59625561260.3323,48014.47117451158,88.03898
21,21.0,93296.86176549978,59625561260.3323,66740.75271631997,88.03898
22,22.0,115323.3275603065,59625561260.3323,126614.89443151778,87.57906
23,23.0,115323.3275603065,59625561260.3323,130465.69626132528,87.57906
24,24.0,115323.3275603065,59625561260.3323,143923.43752854358,87.57906
25,25.0,115323.3275603065,59625561260.3323,144690.49863045293,87.57906
26,26.0,115323.3275603065,59625561260.3323,157417.77463647604,87.57906
27,27.0,115323.3275603065,59625561260.3323,141398.57628182854,87.57906
28,28.0,115323.3275603065,59625561260.3323,261146.8597122242,75.14104
29,29.0,137349.79335511322,59625561260.3323,261146.8597122242,43.42779
30,30.0,137349.79335511322,59625629176.39924,261146.8597122242,43.42779
31,31.0,137349.79335511322,59625597474.71518,261146.8597122242,43.42779
32,32.0,137349.79335511322,59625590270.721565,261146.8597122242,43.42779
33,33.0,137349.79335511322,59625666954.96815,261146.8597122242,43.42779
34,34.0,137349.79335511322,59625718530.76856,261146.8597122242,43.42779
35,35.0,137349.79335511322,59625721330.626945,261146.8597122242,43.42779
36,36.0,137349.79335511322,59625737395.90943,261146.8597122242,43.42779
37,37.0,137349.79335511322,59625709771.99623,261146.8597122242,43.42779
38,38.0,137349.79335511322,59625703168.00314,261146.8597122242,43.42779
39,39.0,137349.79335511322,59625653655.086945,261146.8597122242,43.42779
